
20.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;30;5804.129032258064;-4163.7;7004.433333333333;3355.1277790745385
2;31;6263.064516129032;-4657.806451612903;7337.387096774193;3355.3777788893544
3;30;6019.612903225807;-4335.366666666667;7278.633333333333;3355.3888920375016
4;33;5478.823529411765;-3499.6666666666665;6373.030303030303;3355.1000007412053
5;33;5670.212121212121;-3909.181818181818;6819.757575757576;3355.2222233337993
6;28;6577.310344827586;-4574.071428571428;7554.071428571428;3355.3444472226874
7;33;5322.4;-3699.090909090909;6315.878787878788;3355.100002037502
8;38;5059.282051282052;-3004.815789473684;5897.5;3354.1166679634266
9;34;5525.085714285714;-3590.176470588235;6641.676470588235;3354.3277788893542
10;33;5826.970588235294;-4021.4242424242425;6680.060606060606;3355.050001296762
Total Average;32.3;5754.689080086743;-3945.530044327655;6790.24289353278;3355.015557148613
