
2000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
10;19;7222.8;-5455.1578947368425;8683.578947368422;3355.6444444449266
Total Average;19.8;6971.171775707384;-5670.165244645705;8526.805325244932;3355.6133333338157

15000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;20;6987.45;-6295.85;9278.8;3355.8388888893714
2;18;8835.52380952381;-6820.5;10196.277777777777;3355.9555555560382
3;23;6847.416666666667;-5574.739130434783;8466.217391304348;3355.3722222227043
4;19;6966.75;-5503.421052631579;8721.421052631578;3355.8388888893714
5;21;6925.809523809524;-5845.0;8796.809523809523;3355.605555556038
6;18;7979.0526315789475;-6658.888888888889;9674.444444444445;3355.994444444927
7;20;6967.090909090909;-5956.45;9180.85;3355.6444444449266
8;20;7527.65;-6697.15;9651.15;3355.9555555560382
9;21;7715.954545454545;-6233.666666666667;9143.952380952382;3355.566666667149
10;19;7833.714285714285;-6205.578947368421;9213.894736842105;3355.9555555560382
Total Average;19.9;7458.64123718387;-6179.124468599033;9232.381730776215;3355.772777778261

16000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;22;7026.090909090909;-5849.045454545455;8849.545454545454;3355.8000000004827
2;22;7403.958333333333;-6480.909090909091;9009.045454545454;3355.4500000004823
3;17;8483.222222222223;-6940.235294117647;9833.235294117647;3356.3444444449274
4;19;6272.0;-5705.684210526316;8423.526315789473;3356.3444444449274
5;18;7332.388888888889;-6666.166666666667;9561.5;3356.072222222705
6;17;9749.882352941177;-8894.70588235294;11893.588235294117;3356.0333333338162
7;16;8927.882352941177;-8341.625;11399.75;3356.3444444449274
8;20;7256.761904761905;-6255.25;9087.2;3355.605555556038
9;22;6026.25;-4490.590909090909;7534.5;3355.6444444449266
10;18;7992.789473684211;-6089.166666666667;9093.222222222223;3356.538888889372
Total Average;19.1;7647.1226437863825;-6571.337917487571;9468.511297651437;3356.0177777782606

17000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;19;8043.1;-7180.315789473684;10095.947368421053;3355.8000000004827
2;18;7855.631578947368;-6484.777777777777;9595.888888888889;3356.111111111594
3;17;8660.263157894737;-6815.35294117647;9842.529411764706;3355.994444444927
4;18;7814.263157894737;-5827.944444444444;8975.0;3355.9555555560382
5;16;9427.888888888889;-8004.125;11228.4375;3356.188888889372
6;18;7558.0;-6660.333333333333;9667.833333333334;3356.2277777782606
7;21;7744.0;-6671.857142857143;9519.761904761905;3355.994444444927
8;21;7803.636363636364;-6408.571428571428;9350.285714285714;3355.411111111593
9;21;7919.380952380952;-6488.9047619047615;9631.619047619048;3355.605555556038
10;21;7282.045454545455;-6057.285714285715;9167.57142857143;3355.7222222227047
Total Average;19.0;8010.820955418849;-6659.946833382475;9707.487459764609;3355.9011111115933

18000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;16;8531.588235294117;-7855.0625;10694.375;3356.3833333338166
2;22;6702.090909090909;-5591.272727272727;8580.09090909091;3355.605555556038
3;13;8952.642857142857;-6432.7692307692305;9485.384615384615;3356.26666666715
4;16;8815.333333333334;-8128.8125;10401.0625;3356.072222222705
5;19;7279.380952380952;-6165.421052631579;9026.368421052632;3355.411111111593
6;15;11063.1875;-9523.6;12413.733333333334;3356.26666666715
7;18;7874.055555555556;-7307.222222222223;9975.055555555555;3355.9166666671495
8;16;9747.777777777777;-8353.25;10941.125;3356.26666666715
9;20;7764.619047619048;-5920.7;8588.85;3355.8000000004827
10;20;7693.590909090909;-6287.2;9053.2;3355.4500000004823
Total Average;17.5;8442.426707728548;-7156.5310232895745;9915.924533441705;3355.943888889372
